num_of_nodes,num_of_edges,ratio_node_edge,bi_edge,ratio_bi_edge,min_out_degree,max_out_degree,avg_out_degree,min_in_degree,max_in_degree,avg_in_degree,num_of_odd_out_degree,ratio_of_odd_out_degree,num_of_even_out_degree,ratio_of_even_out_degree,num_of_odd_in_degree,ratio_of_odd_in_degree,num_of_even_in_degree,ratio_of_even_in_degree,num_of_odd_degree,ratio_of_odd_degree,num_of_even_degree,ratio_of_even_degree,out_degree_less_than_3,ratio_out_degree_less_than_3,in_degree_less_than_3,ratio_in_degree_less_than_3,degree_less_than_3,ratio_degree_less_than_3,dfs_1st_back_depth,sum_of_choices_along_path,depth_avg_DFS_backjump,depth_back_to_root,depth_back_to_any,depth_one_path,min_depth_bfs,max_depth_bfs,avg_depth_bfs,min_depth_beam,max_depth_beam,avg_depth_beam,runtime_ham10,runtime_ham2,runtime_ham4,runtime_ham6,runtime_ham8,runtime_ham9,Oracle
168.0,606.0,0.2772,592.0,0.9769,1.0,4.0,3.6071,2.0,4.0,3.6071,54.0,0.3214,114.0,0.6786,52.0,0.3095,116.0,0.6905,24.0,0.1429,144.0,0.8571,6.0,0.0357,7.0,0.0417,0.0,0.0,2.0,9.0,81.1667,2.0,2.0,13.0,5.0,24.0,14.8636,5.0,24.0,15.7,162.496,199.993,52.06399999999999,156.184,2.9210000000000003,199.995,2.9210000000000003
168.0,606.0,0.2772,592.0,0.9769,2.0,4.0,3.6071,2.0,4.0,3.6071,54.0,0.3214,114.0,0.6786,52.0,0.3095,116.0,0.6905,20.0,0.11900000000000001,148.0,0.8809999999999999,6.0,0.0357,7.0,0.0417,0.0,0.0,1.0,5.0,94.6667,2.0,2.0,13.0,6.0,24.0,16.5,6.0,24.0,16.5,199.942,41.06,51.473,18.727999999999998,4.868,4.39,4.39
168.0,606.0,0.2772,592.0,0.9769,2.0,4.0,3.6071,1.0,4.0,3.6071,50.0,0.2976,118.0,0.7024,52.0,0.3095,116.0,0.6905,26.0,0.1548,142.0,0.8452,8.0,0.0476,7.0,0.0417,0.0,0.0,7.0,23.0,92.5,2.0,2.0,13.0,6.0,24.0,16.4118,6.0,24.0,16.5294,167.092,52.878,6.234,75.472,7.417000000000001,1.771,1.771
168.0,606.0,0.2772,592.0,0.9769,1.0,4.0,3.6071,2.0,4.0,3.6071,54.0,0.3214,114.0,0.6786,50.0,0.2976,118.0,0.7024,24.0,0.1429,144.0,0.8571,6.0,0.0357,8.0,0.0476,0.0,0.0,5.0,20.0,84.0,2.0,2.0,14.0,4.0,24.0,14.6522,4.0,24.0,15.9,165.22099999999998,74.85,0.868,199.995,3.485,199.99599999999998,0.868
168.0,606.0,0.2772,594.0,0.9802,2.0,4.0,3.6071,2.0,4.0,3.6071,52.0,0.3095,116.0,0.6905,52.0,0.3095,116.0,0.6905,20.0,0.11900000000000001,148.0,0.8809999999999999,7.0,0.0417,7.0,0.0417,0.0,0.0,6.0,20.0,73.2,2.0,2.0,13.0,11.0,24.0,17.5714,11.0,24.0,17.5714,183.71900000000002,7.545,5.742000000000001,49.328,6.792000000000001,47.352,5.742000000000001
168.0,604.0,0.2781,588.0,0.9735,2.0,4.0,3.5952,2.0,4.0,3.5952,46.0,0.2738,122.0,0.7262,46.0,0.2738,122.0,0.7262,30.0,0.1786,138.0,0.8214,11.0,0.0655,11.0,0.0655,0.0,0.0,1.0,5.0,81.0,2.0,2.0,13.0,4.0,24.0,14.5417,4.0,24.0,15.7143,174.157,42.18,2.356,19.525,3.341,24.377,2.356
168.0,604.0,0.2781,588.0,0.9735,2.0,4.0,3.5952,2.0,4.0,3.5952,56.0,0.3333,112.0,0.6667,52.0,0.3095,116.0,0.6905,30.0,0.1786,138.0,0.8214,6.0,0.0357,8.0,0.0476,0.0,0.0,3.0,11.0,78.0,2.0,2.0,13.0,5.0,24.0,15.9474,5.0,24.0,15.95,199.99,19.3,6.432,199.99099999999999,5.815,126.929,5.815
168.0,604.0,0.2781,588.0,0.9735,2.0,4.0,3.5952,1.0,4.0,3.5952,58.0,0.3452,110.0,0.6548,58.0,0.3452,110.0,0.6548,30.0,0.1786,138.0,0.8214,5.0,0.0298,5.0,0.0298,0.0,0.0,1.0,5.0,84.6667,20.0,3.0,13.0,9.0,24.0,16.5882,9.0,24.0,16.5882,199.989,88.569,50.379,199.99,79.92,199.99599999999998,50.379
168.0,604.0,0.2781,588.0,0.9735,2.0,4.0,3.5952,1.0,4.0,3.5952,52.0,0.3095,116.0,0.6905,52.0,0.3095,116.0,0.6905,24.0,0.1429,144.0,0.8571,8.0,0.0476,8.0,0.0476,0.0,0.0,3.0,12.0,96.0,2.0,2.0,6.0,8.0,24.0,15.2,8.0,24.0,15.2,199.99200000000002,199.99,23.564,112.555,12.417,177.91400000000002,12.417
168.0,604.0,0.2781,588.0,0.9735,1.0,4.0,3.5952,2.0,4.0,3.5952,56.0,0.3333,112.0,0.6667,52.0,0.3095,116.0,0.6905,32.0,0.1905,136.0,0.8095,6.0,0.0357,8.0,0.0476,0.0,0.0,2.0,7.0,99.8571,2.0,2.0,12.0,3.0,24.0,14.6842,6.0,24.0,16.4444,198.051,55.284,2.3409999999999997,16.395,4.683,199.99599999999998,2.3409999999999997
