,num_of_nodes,num_of_edges,ratio_node_edge,bi_edge,ratio_bi_edge,min_out_degree,max_out_degree,avg_out_degree,min_in_degree,max_in_degree,avg_in_degree,num_of_odd_out_degree,ratio_of_odd_out_degree,num_of_even_out_degree,ratio_of_even_out_degree,num_of_odd_in_degree,ratio_of_odd_in_degree,num_of_even_in_degree,ratio_of_even_in_degree,num_of_odd_degree,ratio_of_odd_degree,num_of_even_degree,ratio_of_even_degree,out_degree_less_than_3,ratio_out_degree_less_than_3,in_degree_less_than_3,ratio_in_degree_less_than_3,degree_less_than_3,ratio_degree_less_than_3,dfs_1st_back_depth,sum_of_choices_along_path,depth_avg_DFS_backjump,depth_back_to_root,depth_back_to_any,depth_one_path,min_depth_bfs,max_depth_bfs,avg_depth_bfs,min_depth_beam,max_depth_beam,avg_depth_beam,runtime_ham10,runtime_ham2,runtime_ham4,runtime_ham6,runtime_ham8,runtime_ham9,Oracle_value,Oracle_name,DT_ham10_pred,RF_ham10_pred,kNN_ham10_pred,DT_ham2_pred,RF_ham2_pred,kNN_ham2_pred,DT_ham4_pred,RF_ham4_pred,kNN_ham4_pred,DT_ham6_pred,RF_ham6_pred,kNN_ham6_pred,DT_ham8_pred,RF_ham8_pred,kNN_ham8_pred,DT_ham9_pred,RF_ham9_pred,kNN_ham9_pred
10,192.0,698.0,0.2751,684.0,0.9799,1.0,4.0,3.6354,2.0,4.0,3.6354,60.0,0.3125,132.0,0.6875,54.0,0.2813,138.0,0.7188,26.0,0.1354,166.0,0.8646,5.0,0.026000000000000002,8.0,0.0417,0.0,0.0,1.0,5.0,80.5,2.0,2.0,17.0,11.0,26.0,18.3158,11.0,26.0,18.4211,186.674,199.995,56.391999999999996,174.45,3.483,199.99599999999998,3.483,ham8,174.4042580645161,174.81342908085782,158.20972727272726,92.0560555555555,100.3593181306893,151.224,39.62383529411765,30.774518128830827,40.1330357142857,91.99770386266088,108.24665890243728,160.993,47.608082352941175,47.99171959639125,46.408199999999994,97.28607031249997,85.57052852655278,126.06941379310346
11,176.0,647.0,0.272,646.0,0.9985,2.0,4.0,3.6761,2.0,4.0,3.6761,45.0,0.2557,131.0,0.7443,45.0,0.2557,131.0,0.7443,2.0,0.0114,174.0,0.9886,6.0,0.0341,6.0,0.0341,0.0,0.0,4.0,16.0,80.5,2.0,2.0,17.0,2.0,24.0,16.6111,2.0,24.0,16.6111,75.221,126.525,22.165,199.982,22.066999999999997,4.175,4.175,ham9,109.8988783783784,99.69457835332373,126.30199999999999,92.0560555555555,80.98046527219229,81.21187499999999,39.62383529411765,28.318951573467608,22.303464285714288,54.93195652173913,42.49646752990641,56.269124999999995,47.608082352941175,47.99171959639125,24.292719999999996,62.60126315789473,65.46951941999569,69.19037931034482
12,192.0,696.0,0.2759,680.0,0.977,2.0,4.0,3.625,2.0,4.0,3.625,58.0,0.3021,134.0,0.6979,56.0,0.2917,136.0,0.7083,32.0,0.1667,160.0,0.8333,7.0,0.0365,8.0,0.0417,0.0,0.0,1.0,5.0,103.4286,2.0,2.0,17.0,8.0,26.0,17.9545,8.0,26.0,17.9545,199.99099999999999,108.209,25.315,199.981,35.103,175.02599999999998,25.315,ham4,174.4042580645161,179.06684241419114,158.20972727272726,92.0560555555555,100.3593181306893,101.02674999999999,39.62383529411765,40.37536294812047,41.785607142857145,91.99770386266088,108.24665890243728,126.703,47.608082352941175,47.99171959639125,55.49467999999999,97.28607031249997,85.57052852655278,125.81848275862072
13,192.0,696.0,0.2759,680.0,0.977,2.0,4.0,3.625,2.0,4.0,3.625,52.0,0.2708,140.0,0.7292,58.0,0.3021,134.0,0.6979,28.0,0.1458,164.0,0.8542,10.0,0.0521,7.0,0.0365,0.0,0.0,3.0,10.0,100.7143,2.0,2.0,12.0,4.0,26.0,15.3846,4.0,26.0,16.64,168.88400000000001,54.977,85.333,13.059000000000001,31.055999999999997,36.356,13.059000000000001,ham6,174.4042580645161,178.46102241419112,158.20972727272726,92.0560555555555,100.3593181306893,101.02674999999999,39.62383529411765,53.0145947350612,42.53535714285714,91.99770386266088,113.69117542090157,126.703,47.608082352941175,47.99171959639125,55.81207999999999,97.28607031249997,85.57052852655278,127.65155172413796
14,192.0,696.0,0.2759,680.0,0.977,2.0,4.0,3.625,2.0,4.0,3.625,60.0,0.3125,132.0,0.6875,56.0,0.2917,136.0,0.7083,28.0,0.1458,164.0,0.8542,6.0,0.0313,8.0,0.0417,0.0,0.0,4.0,16.0,98.2857,2.0,2.0,17.0,3.0,26.0,17.0952,3.0,26.0,17.0952,152.303,199.99400000000003,30.866,158.68200000000002,15.294,7.521,7.521,ham9,174.4042580645161,174.81342908085782,156.7419090909091,92.0560555555555,100.3593181306893,125.70949999999999,39.62383529411765,48.68883177962448,41.355214285714275,91.99770386266088,113.69117542090157,137.382875,47.608082352941175,47.99171959639125,55.81207999999999,97.28607031249997,85.57052852655278,122.78803448275862
15,192.0,696.0,0.2759,680.0,0.977,2.0,4.0,3.625,2.0,4.0,3.625,52.0,0.2708,140.0,0.7292,56.0,0.2917,136.0,0.7083,28.0,0.1458,164.0,0.8542,10.0,0.0521,8.0,0.0417,0.0,0.0,1.0,5.0,98.75,2.0,2.0,17.0,7.0,26.0,16.95,7.0,26.0,17.05,183.977,7.348,199.995,199.99,180.21099999999998,45.742,7.348,ham2,174.4042580645161,179.06684241419114,158.20972727272726,92.0560555555555,100.3593181306893,101.02675,39.62383529411765,55.39975644629114,44.32292857142856,91.99770386266088,108.24665890243728,126.703,47.608082352941175,47.99171959639125,47.056279999999994,97.28607031249997,85.57052852655278,126.06941379310346
16,176.0,647.0,0.272,646.0,0.9985,2.0,4.0,3.6761,2.0,4.0,3.6761,47.0,0.267,129.0,0.733,47.0,0.267,129.0,0.733,2.0,0.0114,174.0,0.9886,5.0,0.0284,5.0,0.0284,0.0,0.0,2.0,8.0,100.5,2.0,2.0,17.0,11.0,24.0,17.3529,11.0,24.0,17.3529,96.79,3.2319999999999998,11.074000000000002,58.401,4.46,45.946999999999996,3.2319999999999998,ham2,109.8988783783784,117.88136390887931,112.93754545454549,92.0560555555555,80.98046527219229,65.800375,39.62383529411765,33.24059794455788,16.588749999999997,54.93195652173913,42.49646752990641,38.675625,47.608082352941175,47.99171959639125,20.725440000000003,62.60126315789473,65.46951941999569,68.87868965517242
17,176.0,647.0,0.272,646.0,0.9985,2.0,4.0,3.6761,2.0,4.0,3.6761,47.0,0.267,129.0,0.733,47.0,0.267,129.0,0.733,2.0,0.0114,174.0,0.9886,5.0,0.0284,5.0,0.0284,0.0,0.0,4.0,16.0,92.4,2.0,2.0,17.0,11.0,24.0,17.3529,11.0,24.0,17.3529,79.798,21.294,16.779,62.607,18.708,52.653,16.779,ham4,109.8988783783784,114.27404867078405,121.03872727272727,92.0560555555555,80.98046527219229,65.80025,39.62383529411765,25.957615649871894,22.303464285714288,54.93195652173913,42.49646752990641,38.5715,47.608082352941175,47.99171959639125,28.72304,62.60126315789473,65.46951941999569,70.20462068965517
18,192.0,694.0,0.2767,676.0,0.9741,2.0,4.0,3.6146,2.0,4.0,3.6146,62.0,0.3229,130.0,0.6771,60.0,0.3125,132.0,0.6875,30.0,0.1563,162.0,0.8438,6.0,0.0313,7.0,0.0365,0.0,0.0,9.0,32.0,107.25,2.0,2.0,17.0,5.0,26.0,16.6522,5.0,26.0,16.6522,170.528,199.94400000000002,123.24600000000001,199.995,32.199,4.633,4.633,ham9,174.4042580645161,160.16866954597404,158.68527272727272,92.0560555555555,100.3593181306893,125.70949999999999,39.62383529411765,37.99020123689051,53.05767857142858,91.99770386266088,108.24665890243728,137.382875,47.608082352941175,47.99171959639125,57.92467999999999,97.28607031249997,85.57052852655278,127.61606896551726
19,192.0,694.0,0.2767,678.0,0.9769,2.0,4.0,3.6146,2.0,4.0,3.6146,54.0,0.2813,138.0,0.7188,60.0,0.3125,132.0,0.6875,24.0,0.125,168.0,0.875,10.0,0.0521,7.0,0.0365,0.0,0.0,1.0,5.0,87.1667,2.0,2.0,17.0,7.0,26.0,16.2308,7.0,26.0,16.2308,116.314,2.4819999999999998,2.818,114.556,22.235,194.798,2.4819999999999998,ham2,174.4042580645161,166.79462232202522,158.20972727272726,92.0560555555555,100.3593181306893,121.6235,39.62383529411765,28.389356417600887,40.323678571428566,91.99770386266088,108.24665890243728,157.58700000000002,47.608082352941175,47.99171959639125,54.62167999999999,97.28607031249997,85.57052852655278,129.05100000000002
