,runtime_ham10,runtime_ham2,runtime_ham4,runtime_ham6,runtime_ham8,runtime_ham9,DT_ham10_pred,DT_ham2_pred,DT_ham4_pred,DT_ham6_pred,DT_ham8_pred,DT_ham9_pred,1st_ham,1st_time,2nd_ham,2nd_time,3rd_ham,3rd_time
0,38.5,34.783,61.901,16.893,32.844,10.094,174.40425806451614,30.860578947368417,199.88236363636358,189.28338461538462,196.86445108695628,199.99400000000003,runtime_ham2,34.783,runtime_ham10,38.5,runtime_ham6,16.893
1,199.89,199.952,62.617,67.625,72.054,87.41,174.40425806451614,30.860578947368417,199.88236363636358,189.28338461538462,196.86445108695628,199.99400000000003,runtime_ham2,199.952,runtime_ham10,199.89,runtime_ham6,67.625
2,121.01899999999999,122.516,69.984,27.857,40.924,46.658,174.40425806451614,30.860578947368417,199.88236363636358,189.28338461538462,196.86445108695628,199.99400000000003,runtime_ham2,122.516,runtime_ham10,121.01899999999999,runtime_ham6,27.857
3,175.8,170.31799999999998,39.582,48.067,58.981,105.544,174.40425806451614,30.860578947368417,199.88236363636358,189.28338461538462,196.86445108695628,199.99400000000003,runtime_ham2,170.31799999999998,runtime_ham10,175.8,runtime_ham6,48.067
4,199.80200000000002,199.922,85.876,46.071000000000005,59.113,51.3,174.40425806451614,30.860578947368417,199.88236363636358,189.28338461538462,196.86445108695628,199.99400000000003,runtime_ham2,199.922,runtime_ham10,199.80200000000002,runtime_ham6,46.071000000000005
5,199.99099999999999,13.045,5.902,4.14,12.671,10.59,109.8988783783784,92.05605555555552,39.62383529411765,54.93195652173913,47.60808235294119,62.60126315789473,runtime_ham4,5.902,runtime_ham8,12.671,runtime_ham6,4.14
6,199.953,199.993,5.7589999999999995,138.026,11.571,21.075,109.8988783783784,92.05605555555552,39.62383529411765,54.93195652173913,47.60808235294119,62.60126315789473,runtime_ham4,5.7589999999999995,runtime_ham8,11.571,runtime_ham6,138.026
7,199.993,13.359000000000002,2.254,6.612,28.829,76.689,109.8988783783784,92.05605555555552,39.62383529411765,54.93195652173913,47.60808235294119,62.60126315789473,runtime_ham4,2.254,runtime_ham8,28.829,runtime_ham6,6.612
8,199.99,72.279,3.0989999999999998,166.668,3.2960000000000003,125.325,109.8988783783784,92.05605555555552,39.62383529411765,54.93195652173913,47.60808235294119,62.60126315789473,runtime_ham4,3.0989999999999998,runtime_ham8,3.2960000000000003,runtime_ham6,166.668
9,157.98,199.99400000000003,14.769,199.99,32.509,161.394,109.8988783783784,92.05605555555552,39.62383529411765,54.93195652173913,47.60808235294119,62.60126315789473,runtime_ham4,14.769,runtime_ham8,32.509,runtime_ham6,199.99
10,199.99099999999999,199.99400000000003,21.241,178.05599999999998,51.153,199.995,109.8988783783784,92.05605555555552,39.62383529411765,54.93195652173913,47.60808235294119,62.60126315789473,runtime_ham4,21.241,runtime_ham8,51.153,runtime_ham6,178.05599999999998
11,195.373,127.446,1.051,3.667,56.696000000000005,114.689,109.8988783783784,92.05605555555552,39.62383529411765,54.93195652173913,47.60808235294119,62.60126315789473,runtime_ham4,1.051,runtime_ham8,56.696000000000005,runtime_ham6,3.667
12,162.496,199.993,52.06399999999999,156.184,2.9210000000000003,199.995,109.8988783783784,92.05605555555552,39.62383529411765,54.93195652173913,47.60808235294119,62.60126315789473,runtime_ham4,52.06399999999999,runtime_ham8,2.9210000000000003,runtime_ham6,156.184
13,199.942,41.06,51.473,18.727999999999998,4.868,4.39,109.8988783783784,92.05605555555552,39.62383529411765,54.93195652173913,47.60808235294119,62.60126315789473,runtime_ham4,51.473,runtime_ham8,4.868,runtime_ham6,18.727999999999998
14,167.092,52.878,6.234,75.472,7.417000000000001,1.771,109.8988783783784,92.05605555555552,39.62383529411765,54.93195652173913,47.60808235294119,62.60126315789473,runtime_ham4,6.234,runtime_ham8,7.417000000000001,runtime_ham6,75.472
15,165.22099999999998,74.85,0.868,199.995,3.485,199.99599999999998,109.8988783783784,92.05605555555552,39.62383529411765,54.93195652173913,47.60808235294119,62.60126315789473,runtime_ham4,0.868,runtime_ham8,3.485,runtime_ham6,199.995
