num_of_nodes,num_of_edges,ratio_node_edge,bi_edge,ratio_bi_edge,min_out_degree,max_out_degree,avg_out_degree,min_in_degree,max_in_degree,avg_in_degree,num_of_odd_out_degree,ratio_of_odd_out_degree,num_of_even_out_degree,ratio_of_even_out_degree,num_of_odd_in_degree,ratio_of_odd_in_degree,num_of_even_in_degree,ratio_of_even_in_degree,num_of_odd_degree,ratio_of_odd_degree,num_of_even_degree,ratio_of_even_degree,out_degree_less_than_3,ratio_out_degree_less_than_3,in_degree_less_than_3,ratio_in_degree_less_than_3,degree_less_than_3,ratio_degree_less_than_3,dfs_1st_back_depth,sum_of_choices_along_path,depth_avg_DFS_backjump,depth_back_to_root,depth_back_to_any,depth_one_path,min_depth_bfs,max_depth_bfs,avg_depth_bfs,min_depth_beam,max_depth_beam,avg_depth_beam,runtime_ham10,runtime_ham2,runtime_ham4,runtime_ham6,runtime_ham8,runtime_ham9,Oracle
192.0,696.0,0.2759,680.0,0.977,2.0,4.0,3.625,2.0,4.0,3.625,58.0,0.3021,134.0,0.6979,56.0,0.2917,136.0,0.7083,32.0,0.1667,160.0,0.8333,7.0,0.0365,8.0,0.0417,0.0,0.0,1.0,5.0,103.4286,2.0,2.0,17.0,8.0,26.0,17.9545,8.0,26.0,17.9545,199.99099999999999,108.209,25.315,199.981,35.103,175.02599999999998,25.315
192.0,696.0,0.2759,680.0,0.977,2.0,4.0,3.625,2.0,4.0,3.625,52.0,0.2708,140.0,0.7292,58.0,0.3021,134.0,0.6979,28.0,0.1458,164.0,0.8542,10.0,0.0521,7.0,0.0365,0.0,0.0,3.0,10.0,100.7143,2.0,2.0,12.0,4.0,26.0,15.3846,4.0,26.0,16.64,168.88400000000001,54.977,85.333,13.059000000000001,31.055999999999997,36.356,13.059000000000001
192.0,696.0,0.2759,680.0,0.977,2.0,4.0,3.625,2.0,4.0,3.625,60.0,0.3125,132.0,0.6875,56.0,0.2917,136.0,0.7083,28.0,0.1458,164.0,0.8542,6.0,0.0313,8.0,0.0417,0.0,0.0,4.0,16.0,98.2857,2.0,2.0,17.0,3.0,26.0,17.0952,3.0,26.0,17.0952,152.303,199.99400000000003,30.866,158.68200000000002,15.294,7.521,7.521
192.0,696.0,0.2759,680.0,0.977,2.0,4.0,3.625,2.0,4.0,3.625,52.0,0.2708,140.0,0.7292,56.0,0.2917,136.0,0.7083,28.0,0.1458,164.0,0.8542,10.0,0.0521,8.0,0.0417,0.0,0.0,1.0,5.0,98.75,2.0,2.0,17.0,7.0,26.0,16.95,7.0,26.0,17.05,183.977,7.348,199.995,199.99,180.21099999999998,45.742,7.348
176.0,647.0,0.272,646.0,0.9985,2.0,4.0,3.6761,2.0,4.0,3.6761,47.0,0.267,129.0,0.733,47.0,0.267,129.0,0.733,2.0,0.0114,174.0,0.9886,5.0,0.0284,5.0,0.0284,0.0,0.0,2.0,8.0,100.5,2.0,2.0,17.0,11.0,24.0,17.3529,11.0,24.0,17.3529,96.79,3.2319999999999998,11.074000000000002,58.401,4.46,45.946999999999996,3.2319999999999998
176.0,647.0,0.272,646.0,0.9985,2.0,4.0,3.6761,2.0,4.0,3.6761,47.0,0.267,129.0,0.733,47.0,0.267,129.0,0.733,2.0,0.0114,174.0,0.9886,5.0,0.0284,5.0,0.0284,0.0,0.0,4.0,16.0,92.4,2.0,2.0,17.0,11.0,24.0,17.3529,11.0,24.0,17.3529,79.798,21.294,16.779,62.607,18.708,52.653,16.779
192.0,694.0,0.2767,676.0,0.9741,2.0,4.0,3.6146,2.0,4.0,3.6146,62.0,0.3229,130.0,0.6771,60.0,0.3125,132.0,0.6875,30.0,0.1563,162.0,0.8438,6.0,0.0313,7.0,0.0365,0.0,0.0,9.0,32.0,107.25,2.0,2.0,17.0,5.0,26.0,16.6522,5.0,26.0,16.6522,170.528,199.94400000000002,123.24600000000001,199.995,32.199,4.633,4.633
192.0,694.0,0.2767,678.0,0.9769,2.0,4.0,3.6146,2.0,4.0,3.6146,54.0,0.2813,138.0,0.7188,60.0,0.3125,132.0,0.6875,24.0,0.125,168.0,0.875,10.0,0.0521,7.0,0.0365,0.0,0.0,1.0,5.0,87.1667,2.0,2.0,17.0,7.0,26.0,16.2308,7.0,26.0,16.2308,116.314,2.4819999999999998,2.818,114.556,22.235,194.798,2.4819999999999998
192.0,692.0,0.2775,672.0,0.9711,2.0,4.0,3.6042,2.0,4.0,3.6042,60.0,0.3125,132.0,0.6875,58.0,0.3021,134.0,0.6979,32.0,0.1667,160.0,0.8333,8.0,0.0417,9.0,0.0469,0.0,0.0,1.0,5.0,88.4444,2.0,2.0,2.0,6.0,26.0,17.1905,6.0,26.0,17.1905,162.589,199.99599999999998,19.357,199.989,57.972,149.756,19.357
192.0,692.0,0.2775,672.0,0.9711,2.0,4.0,3.6042,2.0,4.0,3.6042,60.0,0.3125,132.0,0.6875,54.0,0.2813,138.0,0.7188,34.0,0.1771,158.0,0.8229,8.0,0.0417,11.0,0.0573,0.0,0.0,3.0,11.0,92.25,2.0,2.0,17.0,3.0,26.0,17.2105,3.0,26.0,17.2105,150.639,199.99400000000003,15.767999999999999,40.299,13.917,193.081,13.917
