,runtime_ham10,runtime_ham2,runtime_ham4,runtime_ham6,runtime_ham8,runtime_ham9,DT_ham10_pred,DT_ham2_pred,DT_ham4_pred,DT_ham6_pred,DT_ham8_pred,DT_ham9_pred,1st_ham,1st_time,2nd_ham,2nd_time,3rd_ham,3rd_time
0,199.989,39.146,32.872,78.694,13.955,6.061,109.8988783783784,92.05605555555552,39.62383529411765,54.93195652173913,47.60808235294119,62.60126315789473,runtime_ham4,32.872,runtime_ham8,13.955,runtime_ham6,78.694
1,199.99400000000003,199.99400000000003,3.35,52.318000000000005,6.941,137.155,109.8988783783784,92.05605555555552,39.62383529411765,54.93195652173913,47.60808235294119,62.60126315789473,runtime_ham4,3.35,runtime_ham8,6.941,runtime_ham6,52.318000000000005
2,93.557,37.675,3.148,5.856,6.348,199.995,109.8988783783784,92.05605555555552,39.62383529411765,54.93195652173913,47.60808235294119,62.60126315789473,runtime_ham4,3.148,runtime_ham8,6.348,runtime_ham6,5.856
3,89.05799999999999,199.99400000000003,1.2329999999999999,16.879,5.059,58.525,109.8988783783784,92.05605555555552,39.62383529411765,54.93195652173913,47.60808235294119,62.60126315789473,runtime_ham4,1.2329999999999999,runtime_ham8,5.059,runtime_ham6,16.879
4,107.992,4.2139999999999995,1.406,17.433,5.926,1.641,109.8988783783784,92.05605555555552,39.62383529411765,54.93195652173913,47.60808235294119,62.60126315789473,runtime_ham4,1.406,runtime_ham8,5.926,runtime_ham6,17.433
5,199.989,195.308,7.619,7.284,25.045,114.473,109.8988783783784,92.05605555555552,39.62383529411765,54.93195652173913,47.60808235294119,62.60126315789473,runtime_ham4,7.619,runtime_ham8,25.045,runtime_ham6,7.284
6,97.865,199.993,12.802,199.989,199.99400000000003,199.993,174.40425806451614,92.05605555555552,39.62383529411765,91.99770386266097,47.60808235294119,97.28607031249997,runtime_ham4,12.802,runtime_ham8,199.99400000000003,runtime_ham6,199.989
7,95.40100000000001,25.539,12.061,61.418,2.149,11.763,109.8988783783784,92.05605555555552,39.62383529411765,54.93195652173913,47.60808235294119,62.60126315789473,runtime_ham4,12.061,runtime_ham8,2.149,runtime_ham6,61.418
8,178.357,35.217,37.229,87.068,42.62,199.995,174.40425806451614,92.05605555555552,39.62383529411765,91.99770386266097,47.60808235294119,97.28607031249997,runtime_ham4,37.229,runtime_ham8,42.62,runtime_ham6,87.068
9,142.714,199.99,8.759,199.989,3.2889999999999997,199.99599999999998,174.40425806451614,92.05605555555552,39.62383529411765,91.99770386266097,47.60808235294119,97.28607031249997,runtime_ham4,8.759,runtime_ham8,3.2889999999999997,runtime_ham6,199.989
10,186.674,199.995,56.391999999999996,174.45,3.483,199.99599999999998,174.40425806451614,92.05605555555552,39.62383529411765,91.99770386266097,47.60808235294119,97.28607031249997,runtime_ham4,56.391999999999996,runtime_ham8,3.483,runtime_ham6,174.45
11,75.221,126.525,22.165,199.982,22.066999999999997,4.175,109.8988783783784,92.05605555555552,39.62383529411765,54.93195652173913,47.60808235294119,62.60126315789473,runtime_ham4,22.165,runtime_ham8,22.066999999999997,runtime_ham6,199.982
12,199.99099999999999,108.209,25.315,199.981,35.103,175.02599999999998,174.40425806451614,92.05605555555552,39.62383529411765,91.99770386266097,47.60808235294119,97.28607031249997,runtime_ham4,25.315,runtime_ham8,35.103,runtime_ham6,199.981
13,168.88400000000001,54.977,85.333,13.059000000000001,31.055999999999997,36.356,174.40425806451614,92.05605555555552,39.62383529411765,91.99770386266097,47.60808235294119,97.28607031249997,runtime_ham4,85.333,runtime_ham8,31.055999999999997,runtime_ham6,13.059000000000001
14,152.303,199.99400000000003,30.866,158.68200000000002,15.294,7.521,174.40425806451614,92.05605555555552,39.62383529411765,91.99770386266097,47.60808235294119,97.28607031249997,runtime_ham4,30.866,runtime_ham8,15.294,runtime_ham6,158.68200000000002
15,183.977,7.348,199.995,199.99,180.21099999999998,45.742,174.40425806451614,92.05605555555552,39.62383529411765,91.99770386266097,47.60808235294119,97.28607031249997,runtime_ham4,199.995,runtime_ham8,180.21099999999998,runtime_ham6,199.99
16,96.79,3.2319999999999998,11.074000000000002,58.401,4.46,45.946999999999996,109.8988783783784,92.05605555555552,39.62383529411765,54.93195652173913,47.60808235294119,62.60126315789473,runtime_ham4,11.074000000000002,runtime_ham8,4.46,runtime_ham6,58.401
17,79.798,21.294,16.779,62.607,18.708,52.653,109.8988783783784,92.05605555555552,39.62383529411765,54.93195652173913,47.60808235294119,62.60126315789473,runtime_ham4,16.779,runtime_ham8,18.708,runtime_ham6,62.607
18,170.528,199.94400000000002,123.24600000000001,199.995,32.199,4.633,174.40425806451614,92.05605555555552,39.62383529411765,91.99770386266097,47.60808235294119,97.28607031249997,runtime_ham4,123.24600000000001,runtime_ham8,32.199,runtime_ham6,199.995
19,116.314,2.4819999999999998,2.818,114.556,22.235,194.798,174.40425806451614,92.05605555555552,39.62383529411765,91.99770386266097,47.60808235294119,97.28607031249997,runtime_ham4,2.818,runtime_ham8,22.235,runtime_ham6,114.556
20,162.589,199.99599999999998,19.357,199.989,57.972,149.756,174.40425806451614,92.05605555555552,39.62383529411765,91.99770386266097,47.60808235294119,97.28607031249997,runtime_ham4,19.357,runtime_ham8,57.972,runtime_ham6,199.989
21,150.639,199.99400000000003,15.767999999999999,40.299,13.917,193.081,174.40425806451614,92.05605555555552,39.62383529411765,91.99770386266097,47.60808235294119,97.28607031249997,runtime_ham4,15.767999999999999,runtime_ham8,13.917,runtime_ham6,40.299
